id,google_id,name,rating,vicinity,latitude,longitude
29,ChIJiQFVRxwOdkgR1jvmD5A1HO0,"Heathrow Airport Taxi Quotes",0,"12c The Studio Woodhurst Road, Acton Central",51.5111008,-0.2661000
30,ChIJjyoKngQOdkgR_E14E0j2C6M,"London Star Hotel",3.7,"51-53 Steyne Road, London",51.5093765,-0.2723569
31,ChIJDW0xrwIOdkgRFp4a1VvD4cc,"Casa London",0,"39 Hereford Road, London",51.5143433,-0.2711569
32,ChIJDVhC_BwOdkgR12ZZgIlyPR0,"Dom acton",0,"27 Cumberland Road, London",51.5118370,-0.2680653
33,ChIJ_eFDBvwRdkgRJQCrEDqULVI,"Host Family Mallisa",0,"United Kingdom, Howard Close, London",51.5197105,-0.2758723
34,ChIJWZ6kQBwOdkgRNSD5VphK3CE,"Acton Taxi",0,"12 Woodhurst Road, Ealing",51.5110512,-0.2661173
35,ChIJVQ28oR8OdkgRpryLy0dWTeA,"SCOTT & DENISE MARSHALL",0,"44 Perryn Road, London",51.5123215,-0.2603249
36,ChIJN03FMPkRdkgRq-PQ2alL91Q,"BBC Newsgathering Operations",0,"BBC Park Western -44 0RP, 41 Kendal Avenue, London",51.5204697,-0.2783952
37,ChIJ03byh90RdkgRUmMC8FA86MA,"London VIP Group",0,"140 Wales Farm Road, London",51.5219994,-0.2578520
38,ChIJqeBGqgUOdkgRA8WrfqFpawU,"The Backpackshack",4.4,"1 Mill Hill Road, London",51.5065422,-0.2734941
41,ChIJexUQ9AQOdkgRS1xg_zihq58,"The King's Head Hotel",4.2,"214 High Street, London",51.5078278,-0.2730480
42,ChIJ-dfcjiQOdkgRF19KNMxCDX8,Hostelhouses,0,"107 The Vale, London",51.5065193,-0.2526994
43,ChIJuwbvSBEOdkgR5yWu8iPr27w,"Free Spirit",0,"208 Acton Lane, London",51.5000381,-0.2651185
45,ChIJOyhU7iEOdkgRJk6EgP7TND0,"London Cyrenians Housing Ltd",0,"154 East Acton Lane, London",51.5102768,-0.2577671
47,ChIJcxPUZz0OdkgRKkGufpY4Dlg,"M & M",0,"72 Fielding Road, London",51.5027504,-0.2579236
48,ChIJt7FtHxAOdkgR0i3Cx_nsfxg,"Penmarnja Self Catering",0,"89 Brouncker Road, London",51.5025711,-0.2699763
50,ChIJa2m8tBsOdkgRUAskX4uhae4,"Jaegar acton hostel",0,"50, High Street, London",51.5068893,-0.2663558
52,ChIJHUTZfBgOdkgRg2WbyONkafY,"Action Park Hotel",0,"116 The Vale, London",51.5066566,-0.2593494
56,ChIJfTkOojwOdkgRXq983AUDpiw,"Edison court",4.2,"White City, UK, London",51.5029449,-0.2531791
57,ChIJbUIMKA4OdkgRt9dmdSqhiMM,"Warton Court",0,"flat, 1 All Saints' Road, London",51.5009308,-0.2704898
58,ChIJCe-F4AgOdkgRzdCh6uwwfSA,"The Osborne Hotel",0,"294 Osborne Road, London",51.5017662,-0.2777471
60,ChIJn62vZQgOdkgR2UNBjByqm3Y,"Acton Town Hotel",3.3,"109 - 113 Gunnersbury Lane, Acton, London, W3 8HQ",51.5038147,-0.2797304
61,ChIJ_doxvQAOdkgRexqdXSxStAE,"Stylish House with Garden in Prime Neighbourhood",0,"31 Twyford Avenue, London",51.5106087,-0.2815342
62,ChIJdUP23gYOdkgRBcRLNMFq9fU,"Park Lodge Guest House",0,"335 Uxbridge Road, London",51.5082817,-0.2792615
64,ChIJO5WHwAYOdkgRp70EoBpQ7E0,"Acton Hill Hotel",3.7,"311 Uxbridge Road, London",51.5082245,-0.2779280
65,ChIJZVDuewgOdkgR8EU9pH66HWA,"The collective",0,"115 Gunnersbury Lane, London",51.5035744,-0.2798804
68,ChIJK-xRchIOdkgRKNs_MMXLvfs,"Ivy Gate House",0,"6 Temple Road, London",51.4976578,-0.2698333
69,ChIJ49BHJQgOdkgRlfSgmSQSbWc,Lodge,0,"The Broadway, Gunnersbury Lane, London",51.5022621,-0.2815290
70,ChIJsyOKB-MNdkgRAu8ZnyfKNi8,"Stay Place LONDON",0,"144 Gunnersbury Avenue, London",51.5015259,-0.2857830
71,ChIJn6-VJg4OdkgR1znuixy3wwQ,"Drummond Court",0,"Palmerston Road, London",51.5008202,-0.2706521
73,ChIJW8T0GvwNdkgR7TML7iiyP6Q,"Thames Hotel",0,"26 Granville Gardens, London, London-Ealing",51.5086708,-0.2871832
74,ChIJGRYJuQAOdkgR_vERQl5tqI0,"Apple Apartments Ealing",0,"18 Twyford Avenue, London,, Ealing",51.5102539,-0.2810703
75,ChIJ8Uurmf4NdkgR4MNDTJJyx9U,"holland park grove",0,"Uxbridge Road, London",51.5099106,-0.2865339
76,ChIJmVBbVGMAdkgRqGoba8Nq25I,"Addington Palace - Wedding Venue",4.2,"Gravel Hill, Croydon",51.3573914,-0.0412200
77,ChIJI2kiv3sAdkgRiLAWhxPmUK4,"Apartment 36D",0,"Gravel Hill, Addington, Croydon",51.3536987,-0.0390990
78,ChIJ2USjpMUAdkgR3IuzILL5PY0,"Nube Serviced Apartments",0,"Addiscombe Road, Croydon",51.3752403,-0.0799014
79,ChIJ0TBtE9AAdkgRZ-0ym_HmEJg,"Croydon Hotel",3.8,"112 Lower Addiscombe Road, Croydon",51.3792877,-0.0829512
80,ChIJS4hkG9sAdkgRxYJ18KTihKk,"Atini Guest House",4.5,"42 Grant Rd, Croydon",51.3803139,-0.0784616
81,ChIJK2Uj_sIAdkgRts1MOJ34RqI,"Hillcrest Sandilands Cr0",0,"24 Northampton Road, Croydon",51.3760452,-0.0728269
82,ChIJb57vptwAdkgRJgcg2ef08K4,"Freshford House",0,"181 Lower Addiscombe Rd, Croydon",51.3793259,-0.0757031
83,ChIJfaGt_8IAdkgR9UqBiXSLATs,"Outcomes First Group",0,"24 Northampton Rd, Croydon",51.3759880,-0.0728609
84,ChIJV56UvtwAdkgR7HHucHY0ao4,Blizz,0,"Lower Addiscombe Road, Croydon",51.3795624,-0.0747778
85,ChIJZbQk5MQAdkgRypAKgSWKi9Q,"Melton Court",0,"13 Havelock Road, Croydon",51.3767776,-0.0783678
86,ChIJk7GNy-YAdkgRmuuPHEUxDYI,"The Lodge Ashburton Park",0,"Lower Addiscombe Road, Croydon",51.3834763,-0.0660460
87,ChIJGcjHjs8AdkgRuENlqWChUDc,"13 cheyne court,",0,"Canning Road, Croydon",51.3767242,-0.0821912
88,ChIJ3dfQpdEAdkgRLDcoPbeHxew,"Tenby Court",0,"Tenby Court, 5 Morland Road, Croydon",51.3809433,-0.0855020
89,ChIJo0FxucYAdkgRvlossPia-z8,"The Radcliffe Centre - Girl Guiding Site",0,"11 Harding Close, Croydon",51.3721695,-0.0768577
90,ChIJo_knzp2u2EcRA-Q2TdHV8vY,Eurostay,0,"11 Eaton Road, Sidcup",51.4330444,0.1236848
91,ChIJU5RVeksDdkgRaaoVDe3JHrI,"Hotel Indigo London - Tower Hill",4.5,"142 Minories, London",51.5127411,-0.0759204
92,ChIJbzZAgksDdkgRVNB_KxLPlos,"Chamberlain Hotel London",4.2,"130-135 Minories, London",51.5122490,-0.0757285
93,ChIJR2DlOrUcdkgR_fsLrlSxaqE,ibis,3.9,"5 Commercial Street, London",51.5156708,-0.0724500
94,ChIJjQzyQ0oDdkgRCTspAw2qeoM,"Grange Tower Bridge Hotel",4.3,"45 Prescot Street, London",51.5116005,-0.0719368
95,ChIJM8Z8DUwDdkgRAfOOreRfemE,"Grange City Hotel",4.1,"8-14 Cooper's Row, London",51.5107384,-0.0768662
96,ChIJ8ewpOEwDdkgRHgWkQtdCOYE,"DoubleTree by Hilton Hotel London - Tower of London",4.4,"7 Pepys Street, London",51.5108833,-0.0780780
97,ChIJtx22FUwDdkgRpORimUrdYlQ,"Hotel Novotel London Tower Bridge",4.1,"10 Pepys Street, London",51.5106430,-0.0773503
98,ChIJS6BnX6scdkgRZRvjBscyBtc,"Apex City of London Hotel",4.5,"1 Seething Lane, London",51.5105667,-0.0793740
99,ChIJGYNHibIcdkgRvs_9RC1OnEE,"Andaz London Liverpool Street",4.4,"40 Liverpool Street, London",51.5172577,-0.0810483
100,ChIJpeth-VIDdkgRDfLiPG01aFU,"Club Quarters Hotel, Gracechurch",3.7,"7 Gracechurch Street, London",51.5128174,-0.0847052
101,ChIJN8TLJEgDdkgRLEFtFv_mVcs,"The Tower Hotel",4.2,"Saint Katharine's Way, London",51.5066185,-0.0727792
102,ChIJ6e0EoawcdkgRYtoLJCwrVKI,"Apex London Wall Hotel",4.3,"7-9 Copthall Avenue, London",51.5160027,-0.0881050
103,ChIJH-Bm3socdkgRc4N1ad2l5QU,"Qbic Hotel London City",4.6,"42 Adler Street, London",51.5161476,-0.0675199
104,ChIJy9EIE6wcdkgRbcc9T0bwAjg,"South Place Hotel",4.4,"3 South Place, London",51.5190849,-0.0864360
105,ChIJaZLTtUsDdkgR1vp_B9esXkY,"Travelodge London Central Tower Bridge Hotel",3.6,"Lloyds Court Business Centre, 1 Goodman's Yard, London",51.5110359,-0.0735092
106,ChIJocfmQrEcdkgRdaFA-jlFvtk,"Tune Hotel - London, Liverpool Street",3.8,"13-15 Folgate Street, London",51.5210381,-0.0776486
107,ChIJTc4X9VEDdkgRkaRqr4ri8QA,"Premier Inn London City Tower Hill",4,"22-24 Prescot Street, London",51.5114212,-0.0717720
108,ChIJ09xtpbMcdkgRZvo61dTMqvY,"Widegate Hostel",0,"25 Widegate Street, London",51.5181503,-0.0784459
109,ChIJh59dY7McdkgRL3ZLZJ-I3j8,"Park Lane City Apartments",4.3,"92 Middlesex Street, London",51.5170479,-0.0769900
110,ChIJj5H5gMscdkgRJ8hm0n1w5NA,"Hotel ibis budget London Whitechapel",3.9,"100 Whitechapel Road, London",51.5177574,-0.0649134
111,ChIJt_qR2VIDdkgRwHyX_U-qKL8,"Threadneedles, Autograph Collection",4.2,"5 Threadneedle Street, London",51.5140991,-0.0855620
112,ChIJlUQzJlIDdkgROvGtYq0ON8o,"Fraser Residence City",3.9,"3 Lovat Lane, London",51.5102234,-0.0840030
113,ChIJi-C6mcocdkgRDtN-YfmagqI,"Arbor City Hotel",4.2,"12-20 Osborn Street, London",51.5166740,-0.0697897
114,ChIJZ5SVr7McdkgRQvc8aBHW-vk,"Rez Apart Hotel",3.8,"26 Widegate Street, London",51.5181885,-0.0785645
115,ChIJXcxn7bQcdkgRmH6j5d4-qI0,"Liverpool Street House",0,"33 Wentworth Street, London",51.5169182,-0.0747400
116,ChIJrVk0kkoDdkgRdXeXeBctxr4,"Tower Hill One",0,"2 North Tenter Street, London",51.5131683,-0.0716053
117,ChIJ-UB1R7McdkgRLVTOO2BlJQM,"Travelodge London Central Liverpool Street Hotel",3,"1 Harrow Place, London",51.5157967,-0.0776427
118,ChIJG5_O97IcdkgR74MfiriGpo8,"City Marque City Serviced Apartments",0,"172 Bishopsgate, City of London, London, EC2M 4NQ, London",51.5175514,-0.0801444
119,ChIJy4k7rLMcdkgRnwOKMlQ8FFc,"Liverpool Street Residences",0,"448 Petticoat Square, London",51.5180397,-0.0789455
120,ChIJr70Y_bQcdkgR9bDgJfTU7gg,"Destination 43",0,"43 Commercial Street, London",51.5170403,-0.0735296
121,ChIJV__lo7McdkgRE9j6u8x9K2k,"Club Living - Liverpool Street Apartments",0,"White Rose Court, Widegate Street, London",51.5179787,-0.0780824
122,ChIJF1IDZVQDdkgR9UiO64bBgmY,"Travelodge London Central Bank Hotel",3.3,"19-23 Saint Swithin's Lane, London",51.5118942,-0.0890075
123,ChIJWxxNJ8scdkgR5A6PSSjxtbI,"Wynfrid House",4.4,"20 Mulberry Street, London",51.5159454,-0.0674228
124,ChIJZ6E1ALUcdkgRcJOm3z5ybFc,"Mayfair Apartments",0,"Mayfair Apartments Flat 202 46A Commercial Street London, Spitalfields",51.5174599,-0.0732902
125,ChIJpwOQlksDdkgRGuyD_x-Ny_c,"Urbanest Tower Bridge",3.9,"52-56 Minories, London",51.5114136,-0.0750580
126,ChIJlUNzYK0cdkgRCVLdKNsmYnE,"City Stay Aparts -Liverpool Street Apartment",0,"Wormwood Street, London",51.5163155,-0.0822808
127,ChIJ1Upz3UwDdkgRy67--JZW74U,"The City Apartments",0,"Creechurch Mitre Street, London, London",51.5137482,-0.0786608
128,ChIJq61wAzUDdkgRVg3pIC2Pqfk,"House of MoLi - Times Square Apartments",0,"Times Square, Aldgate, London",51.5128746,-0.0678089
129,ChIJ6Q8kuMscdkgRC_dxUHWkJ_0,"Bloomfield Rooms",0,"Bloomfield House, Old Montague Street, London",51.5188255,-0.0667440
130,ChIJ1YUCxzcDdkgRt1g6nss0XFw,"The Dickens Inn",3.8,"Marble Quay, Saint Katherines Way, London",51.5067673,-0.0701752
131,ChIJcwIrX7QcdkgRFb2SKq_jr1E,"Anchor Service Apartments",0,"Flat 4, 3a Toynbee Street, London",51.5177650,-0.0744871
132,ChIJ7a7iGsocdkgR3L55AWP9WPU,"Sanctuary in Shoreditch",0,"10 Huguenot Court, London",51.5197487,-0.0695736
133,ChIJ09k3o7McdkgRpVVHKdRRDn8,"Rojen Apartment Liverpool Street",0,"Flat 4, 3 Sandy's Row, Liverpool Street, London",51.5182343,-0.0780581
134,ChIJJ4gVKzQDdkgREtF4u47YU6w,"Tower Bridge Apartment",0,"Ensign Street, London",51.5099640,-0.0673911
135,ChIJ2yFPg7UcdkgRdhWoqNZenIo,"Brick Lane Hotel",3.7,"13 Brick Lane, London",51.5177689,-0.0712031
136,ChIJucXUSzMDdkgRx1cE-iFsSRk,"TripKey Apartments",0,"Flat 1, 132 Commercial Road, London",51.5146751,-0.0632765
137,ChIJSx4f0jQDdkgRyJr8HbYoo70,"Pure Aldgate",0,"60 Commercial Road, Aldgate, London",51.5146751,-0.0668409
138,ChIJFwHJq8scdkgRIgcWs9V2yL4,"The Penthouse",0,"Flat 13, 57 Greatorex Street, Tower hamlets, London",51.5178108,-0.0672142
139,ChIJJ11ku7QcdkgRsBmtmhqkc_g,"2 Brunswick House",0,"2 Brunswick House, New Goulston Street, London",51.5159416,-0.0754505
140,ChIJU_WxAzUDdkgR5vEX6T-ccsE,"Executive Oasis in City Center",0,"Flat 17, 120 Gowers Walk, London",51.5128059,-0.0676964
141,ChIJKVpDU7IcdkgR_aIZbe1305o,"196 Bishopsgate",4.2,"196 Bishopsgate, London",51.5179482,-0.0796542
142,ChIJhyEUKkwDdkgR4VR9s4VJhlQ,"Clarendon Serviced Apartments - Pepys Street",4.8,"1 Pepys Street, London",51.5109367,-0.0772640
143,ChIJU1Wd77QcdkgRLSTUL_iGAXA,"Aldgate East Studio",0,"Sloane Apartments, 54 Old Castle Street, London, London",51.5167923,-0.0741537
144,ChIJBdU0KVIDdkgRVgXR_w10KZg,"Apartment London Bridge - Monument Street",0,"Werner House, Flat 5, 31 Monument Street, London",51.5100479,-0.0846320
145,ChIJp5fPMbQcdkgRqN2wlkF7-qU,"Trendy Shoreditch",0,"8 Puma Court, London",51.5195351,-0.0738906
146,ChIJfbXvHrQcdkgR4dTsIf4t0k8,"Belvedere Liverpool Street",0,"Bishops Court 20 Lamb Street, London",51.5200310,-0.0750911
147,ChIJ95NYfksDdkgRD9joThYhOUI,"Bridgestreet India Street Hotel",0,"1 Pepys Street, London",51.5109901,-0.0773676
148,ChIJ5forsrMcdkgRWNPIGp9lgQY,"Fraser Residence Bishopsgate, London",0,"12-16 Artillery Lane, London",51.5183716,-0.0787715
149,ChIJ9fHvgbQcdkgRV4nHDXtJ2_M,"Smart City Apartment 203",0,"Flat 203, Brody House, 11 Strype St., London",51.5173264,-0.0762637
150,ChIJD86heLYcdkgRCiiPcYKCgLk,"Superb Spitalfields Home E1",0,"Hanbury Street, Spitalfields, London",51.5202522,-0.0729266
194,ChIJJyBv4TIDdkgRNU2s90u7Cvo,"Cannon Street Apartments",0,"Cannon Street Road, London",51.5134010,-0.0613720
199,ChIJxV8VszIDdkgRJirJy5rmXiQ,"City Duplex Apartments",0,"201 Commercial Road, London",51.5149117,-0.0596896
204,ChIJiQjy_cscdkgRNPSmdfGISjE,"East End Apartments",0,"Hanbury Street 245, London",51.5202065,-0.0650097
206,ChIJq1cHIDMDdkgRg3VSNeRoJkE,"Bigland Apartments",0,"Cannon street road, London",51.5136986,-0.0616200
210,ChIJXXk0vTQDdkgRTxd57mS17Kg,"Henriques Street - Tower of London",0,"Henriques Street, London",51.5137787,-0.0653030
211,ChIJ592MXeEbdkgRUSCjHP9VT3U,"Crompton Court Serviced Apartments",4.2,"120-128 Mayes Road, London",51.5952988,-0.1128688
212,ChIJYz8cLeIbdkgRzNXIOh7md4w,"Green Rooms",4.4,"13-27 Station Road, London",51.5968475,-0.1107965
213,ChIJN23iW-EbdkgRgAzmIwQ6nlI,"The Duke of Edinburgh",4,"83 Mayes Road, London",51.5947304,-0.1122612
214,ChIJXfZ3yOEbdkgRTbZeJoCoAOk,"Wood Green Cottage",0,"12 Warberry Road, London",51.5979156,-0.1141118
215,ChIJT5lLAFwZdkgRXCPZvb8gNb8,"Hope Support Services",0,"375 High Road, London",51.6046944,-0.1119517
216,ChIJuXrQJq8CdkgRUBiZUVwk3u4,"Hotel ibis London Docklands",4.1,"1 Baffin Way, London",51.5070686,-0.0070370
217,ChIJi12m26gCdkgRKvteXZ918HA,"Radisson Blu Edwardian New Providence Wharf",4.2,"5 Fairmont Avenue, London",51.5066071,-0.0042630
218,ChIJVTZUsMcCdkgRtMHAppHQ9f0,"London Marriott Hotel West India Quay",4.3,"22 Hertsmere Road, London",51.5073204,-0.0209147
219,ChIJl6Wm-68CdkgRz_FBR7rrr1w,"Fraser Place Canary Wharf, London",4.2,"80 Boardwalk Place, London",51.5049744,-0.0111630
220,ChIJoRDJ7OUz30cRM2GTc9AN9mI,"Travelodge London Docklands Hotel",3.5,"Coriander Avenue, East India Dock Road, London",51.5117836,-0.0039110
221,ChIJhT2Pfq8CdkgRnd1_Rw9N4g4,"Simply Serviced Apartments",0,"8 Landons Close Canary Wharf E14 9QQ, London",51.5046844,-0.0084821
222,ChIJu-ByuKgCdkgRMHXoaOy12M0,"River View Vacation Apartment",0,"New Providence Wharf, 1 Fairmont Avenue, London",51.5057793,-0.0050329
223,ChIJfYzC4akCdkgR0aUzPHWYKCs,"Tower Hamlets Apartments",0,"Newport Avenue, London",51.5086784,-0.0000557
224,ChIJCbLx80wddkgRJyUXK8gh6sI,"Deluxe Apartment - Canary Wharf",0,"17 Fawe Street, London",51.5172729,-0.0158246
225,ChIJU2zE7EoddkgRVPckjS3XNiQ,"Canary Wharf View Apartment",0,"flat 112 carat house 34 ursula gould way, London",51.5167580,-0.0219351
226,ChIJJUsYVDUddkgR4sRBHXD0NFg,"Canary Wharf Apartments",0,"Flat 61, 93 Stainsby Road Abbotts Wharf, London",51.5152969,-0.0237524
227,ChIJ5XJQU7YCdkgRA6VniQ6RAds,"SK Apartment",0,"1 West India Quay, 2309 Hertsmere Road, London",51.5071602,-0.0209324
228,ChIJ6eG8csoCdkgREHwxMIpGObo,"Davies Court - LHA London Ltd",3.8,"56 East India Dock Road, London",51.5111275,-0.0243742
229,ChIJx8DEha0CdkgRGuREKZnc3s8,"George IV",0,"7 Ida Street, London",51.5118523,-0.0114658
230,ChIJb2pOlagCdkgRBbItcn4dlM0,"Citilux by Upstreet Serviced Apartments, Canary Wharf",0,"4 Fairmont Avenue, London",51.5068169,-0.0046373
231,ChIJwf-_GLUCdkgRUtu9DYMLuCs,"Penthouse Views",0,"72 Lindfield Street, London",51.5136108,-0.0209890
232,ChIJ-Zxvfq8CdkgRZs25Q7zO9sk,"Apartment in the wharf",0,"9 Landons Close, London",51.5046196,-0.0084829
233,ChIJMeu7Z6kCdkgRpIviH8wkyH8,"London Connection",0,"Romney House, 64 Naval Row, London",51.5092735,-0.0041283
234,ChIJZ9UMfK0CdkgRDW7hCbNMLkc,"lettingeasy - Brownfield",0,"Brownfield Street, London",51.5127640,-0.0129574
235,ChIJr1z8FLQCdkgR3DAc6rrUnSA,"Queen Victoria Seamen's Rest",0,"121-131 East India Dock Road, London",51.5112038,-0.0190166
236,ChIJ_1BU-q8CdkgR6Lwyj0zCXJk,"canary wharf",0,"80 Boardwalk Place, London",51.5049744,-0.0111639
237,ChIJ9VW4tbcCdkgRdeY5cXmItAY,"Absolute Pleasure Yacht",0,"North Dock footbridge, London",51.5068855,-0.0218664
238,ChIJY-C4AbcCdkgRTf_tVn2Y8eQ,"Inspired London | Jamestown Way",0,"11 Jamestown Way, East India, London",51.5079613,-0.0005140
239,ChIJG3YeDgKo2EcRzKHBdEQJrro,"Susan Constant Court",0,"24 Susan constant court, London",51.5088272,0.0007256
240,ChIJCYA3TcgCdkgRZ2c0in9M-Ek,"Tune Hotel - London, Canary Wharf",4.1,"Tune Hotel Canary Wharf, 21 Hertsmere Road West, London",51.5071793,-0.0254880
241,ChIJAQAAALQCdkgRYck8k8cLKgk,"Blashill Court",0,"7 Pomfret Place, Bullivant Street, London",51.5109024,-0.0102185
242,ChIJmRtinLECdkgRpqJc8Ek0cqE,HSLONDON,0,"8 Palm Court, 123 Poplar High Street, London",51.5089264,-0.0143620
243,ChIJqZFt9rICdkgRZELSVCOB_os,"Chrisp Biuro",0,"62 Brownfield Street, London",51.5123672,-0.0131186
244,ChIJ0SzvXq4CdkgRHQkRprO278U,"Wharfside Point South",0,"Poplar, London",51.5082130,-0.0090347
245,ChIJyS5aKrQCdkgR_AbEgfEMdVU,"Serviced Apartments Central London",0,"Empire Square West, London",51.5098648,-0.0203204
246,ChIJBbXt27QCdkgRklzsgJoWkVc,"Felix Point",0,"53 Upper North Street, London",51.5132523,-0.0202591
247,ChIJnVolzqgCdkgRptBG5w71aW0,"Charrington Tower",0,"11 Biscayne Avenue, London",51.5068970,-0.0055264
248,ChIJ_TyCUFMddkgRLeN-2HYUU2s,"St. Ives Place",0,"Leven Road, London",51.5156593,-0.0063891
249,ChIJay7OTK8CdkgR6gL5xcbW62w,"Harmony Living Serviced Apartments",0,"164 Blackwall Way, London",51.5053596,-0.0058960
250,ChIJ7RL0Xq8CdkgRJ-zvf4JCktU,"Polaris Apartments",0,"9FU, 43 Preston's Road, London",51.5047264,-0.0071263
251,ChIJh52TsVQddkgRppWVmUtlCYE,"Salcombe Court Hx",0,"Leven Road, London",51.5153961,-0.0050291
252,ChIJc_oJyKkCdkgRaL3wMd9fRHg,"hotel perico",0,"Poplar, London",51.5077782,-0.0013990
253,ChIJneQz68kCdkgRXUeCKbZg_dA,"Riverside House",0,"20 Garford Street, London",51.5086212,-0.0248336
254,ChIJpV5EC0sddkgRhw4VJmURZTA,"Locksons close",0,London,51.5173569,-0.0191285
255,ChIJP7G-kkoddkgRORgwC9ysx5I,"aqua vista square",0,"4fg, Upper North Street, London",51.5169792,-0.0214863
256,ChIJSRuv8koddkgRBgPu7TJcEzA,"Diprose Court",0,"106 Upper North Street, London",51.5170059,-0.0219643
257,ChIJQTEsmRcSdkgR8KFedSf_8p4,"The Fox & Goose Hotel",4.1,"Hanger Lane, London",51.5332108,-0.2956206
258,ChIJ2_Ew0D0SdkgRyER8ZUw9A50,"The Boat Hotel",3.5,"346 Ealing Road, Wembley",51.5396156,-0.3008386
259,ChIJK8ukADsSdkgRtBmLn5Xokpk,"Braunston House",0,"1rp, 243 Ealing Road, Wembley",51.5386238,-0.2993250
260,ChIJzYGDLTsSdkgRqvlif97E2rk,"Stanley Lodge",0,"Stanley Avenue, Wembley",51.5429306,-0.2946487
261,ChIJiQ5fYDASdkgRHS8O9uBNUXc,"The Taj Inn",0,"95-97 Ealing Road, Wembley",51.5473938,-0.2975012
262,ChIJ8W-VnCESdkgRdeVGZzSXxZU,"Dreams Hotel",0,"72 Longley Avenue, Wembley",51.5380592,-0.2876516
263,ChIJbQMuLxgSdkgReeYaDctgizk,"Cleverly Crescent",0,"26 Saint Augustine's Avenue, London",51.5335732,-0.2939487
264,ChIJ0Xrn9IFndkgRjl_pVn5rny4,"Cherry Trees Bed and Breakfast",0,"51 Longfield Drive, Amersham",51.6767349,-0.6159814
